Product Category,Product Name,Unit Price,ratings
PLAYERS AND ELECTRONICS,phone,30999.99,3.42
Home Appliances,Vacuum,499.99,3.43
LADIESWEAR, Jeans,69.99,2.65
Books,The Da Vinci Code,15.99,2.64
Beauty,Skincare Set,89.99,4.77
Sports,Basketball,29.99,3.96
PLAYERS AND ELECTRONICS,laptop,84999.99,2.69
Home Appliances,air purifier,599.99,1.63
Footwear,shoes,89.99,3.38
Books,Dune by Frank Herbert,25.99,4.1
Beauty,Perfume,129.99,4.81
Sports,Tennis Racket,199.99,5
PLAYERS AND ELECTRONICS,Tab,74999.99,2.44
Home Appliances,Coffee Maker,5889.99,3.79
LADIESWEAR,Jacket,249.99,3.64
Books,"Salt, Fat, Acid, Heat by Samin Nosrat",35.99,3.71
Beauty,Hair Dryer,399.99,3.51
Sports,Yoga Mat,119.99,5
PLAYERS AND ELECTRONICS,watch,499.99,4.91
Home Appliances,Blender,99.99,3.76
LADIESWEAR,Summer Dress,59.99,5
Books,Gone Girl by Gillian Flynn,22.99,3.94
Beauty,Face Cream,49.99,1.79
Sports,Football,29.99,3.28
PLAYERS AND ELECTRONICS,headsets,299.99,2.89
Home Appliances,Microwave,179.99,1.66
LADIESWEAR,Shoes,179.99,2.6
Books,Pride and Prejudice by Jane Austen,12.99,5
Beauty,Lipstick,29.99,3.03
Sports,shoes,129.99,5
PLAYERS AND ELECTRONICS,headsets,349.99,2.89
Home Appliances,Instant Pot Duo,89.99,4.75
LADIESWEAR, T-Shirt,29.99,2.99
Books,1984 by George Orwell,19.99,4.88
Beauty,hair serum,39.99,4.79
Sports,Pelaton Bike,1895,4.86
PLAYERS AND ELECTRONICS,smart watch,399.99,3.98
Home Appliances,irobot ,799.99,5
LADIESWEAR, Jacket,59.99,3.4
Books,Harry Potter and the Sorcerer's Stone,24.99,4.42
Beauty,moisturizer,105,3.19
Sports,Fitbit Charge 5,129.99,5
PLAYERS AND ELECTRONICS,Action camera,399.99,2.16
Home Appliances,Coffee mix,199.99,3.92
LADIESWEAR,Sweater,139.99,4.08
Books,Becoming by Michelle Obama,32.5,3.08
Beauty,Facial moisturizer,52,3.51
Sports,cricket ball,39.99,3.12
PLAYERS AND ELECTRONICS,Kindle Paperwhite,129.99,3.01
Home Appliances,Oven,299.99,3.25
LADIESWEAR,Sunglasses,154.99,4.97
Books,The Silent Patient by Alex Michaelides,26.99,3.66
Beauty,Sunscreen,49,4.32
Sports,Golf Balls,49.99,4
PLAYERS AND ELECTRONICS,Portable Charger,59.99,3.22
Home Appliances,Mixer,499.99,2.39
LADIESWEAR,Boxer briefs,29.99,4.55
Books,Educated by Tara Westover,28,3.36
Beauty,Brow pencil,23,3.1
Sports,Hyperice Hypervolt Massager,349,4.09
PLAYERS AND ELECTRONICS,Nintendo Switch,299.99,3.37
Home Appliances,Philips Airfryer XXL,199.99,1.79
LADIESWEAR,T-shirt,9.99,4.54
Books,Where the Crawdads Sing by Delia Owens,18.99,4.21
Beauty,Perfume,102,4.87
Sports,Garmin Edge 530,299.99,5
PLAYERS AND ELECTRONICS,QLED TV,1199.99,3.91
Home Appliances,Vacuum cleaner,219.99,2.55
LADIESWEAR,Sneakers,59.99,5
Books,The Great Gatsby by F. Scott Fitzgerald,10.99,4.68
Beauty,Facial moisturizer,78,3.53
Sports,Sneakers,129.99,2.99
