Product Category,Product Name,Unit Price,ratings
PLAYERS AND ELECTRONICS,phone,6639.17,3.42
Home Appliances,Vacuum,41499.17,3.43
LADIESWEAR, Jeans,5809.17,2.65
Books,The Da Vinci Code,1327.17,2.64
Beauty,Skincare Set,7469.17,4.77
Sports,Basketball,2489.17,3.96
PLAYERS AND ELECTRONICS,laptop,82999.17,2.69
Home Appliances,air purifier,8299.17,1.63
Footwear,shoes,7469.17,3.38
Books,Dune by Frank Herbert,2157.17,4.1
Beauty,Perfume,10789.17,4.81
Sports,Tennis Racket,16599.17,5
PLAYERS AND ELECTRONICS,Tab,24899.17,2.44
Home Appliances,Coffee Maker,488869.17,3.79
LADIESWEAR,Jacket,20749.17,3.64
Books,"Salt, Fat, Acid, Heat by Samin Nosrat",2987.17,3.71
Beauty,Hair Dryer,33199.17,3.51
Sports,Yoga Mat,9959.17,5
PLAYERS AND ELECTRONICS,watch,41499.17,4.91
Home Appliances,Blender,8299.17,3.76
LADIESWEAR,Summer Dress,4979.17,5
Books,Gone Girl by Gillian Flynn,1908.17,3.94
Beauty,Face Cream,4149.17,1.79
Sports,Football,2489.17,3.28
PLAYERS AND ELECTRONICS,headsets,24899.17,2.89
Home Appliances,Microwave,14939.17,1.66
LADIESWEAR,Shoes,14939.17,2.6
Books,Pride and Prejudice by Jane Austen,1078.17,5
Beauty,Lipstick,2489.17,3.03
Sports,shoes,10789.17,5
PLAYERS AND ELECTRONICS,headsets,29049.17,2.89
Home Appliances,Instant Pot Duo,7469.17,4.75
LADIESWEAR, T-Shirt,2489.17,2.99
Books,1984 by George Orwell,1659.17,4.88
Beauty,hair serum,3319.17,4.79
Sports,Pelaton Bike,157285.0,4.86
PLAYERS AND ELECTRONICS,smart watch,8299.17,3.98
Home Appliances,irobot ,66399.17,5
LADIESWEAR, Jacket,4979.17,3.4
Books,Harry Potter and the Sorcerer's Stone,2074.17,4.42
Beauty,moisturizer,8715.0,3.19
Sports,Fitbit Charge 5,10789.17,5
PLAYERS AND ELECTRONICS,Action camera,33199.17,2.16
Home Appliances,Coffee mix,16599.17,3.92
LADIESWEAR,Sweater,11619.17,4.08
Books,Becoming by Michelle Obama,2697.5,3.08
Beauty,Facial moisturizer,4316.0,3.51
Sports,cricket ball,3319.17,3.12
PLAYERS AND ELECTRONICS,Kindle Paperwhite,10789.17,3.01
Home Appliances,Oven,24899.17,3.25
LADIESWEAR,Sunglasses,12864.17,4.97
Books,The Silent Patient by Alex Michaelides,2240.17,3.66
Beauty,Sunscreen,4067.0,4.32
Sports,Golf Balls,4149.17,4
PLAYERS AND ELECTRONICS,Portable Charger,4979.17,3.22
Home Appliances,Mixer,41499.17,2.39
LADIESWEAR,Boxer briefs,2489.17,4.55
Books,Educated by Tara Westover,2324.0,3.36
Beauty,Brow pencil,1909.0,3.1
Sports,Hyperice Hypervolt Massager,28967.0,4.09
PLAYERS AND ELECTRONICS,Nintendo Switch,24899.17,3.37
Home Appliances,Philips Airfryer XXL,16599.17,1.79
LADIESWEAR,T-shirt,829.17,4.54
Books,Where the Crawdads Sing by Delia Owens,1576.17,4.21
Beauty,Perfume,8466.0,4.87
Sports,Garmin Edge 530,24899.17,5
PLAYERS AND ELECTRONICS,QLED TV,99599.17,3.91
Home Appliances,Vacuum cleaner,18259.17,2.55
LADIESWEAR,Sneakers,4979.17,5
Books,The Great Gatsby by F. Scott Fitzgerald,912.17,4.68
Beauty,Facial moisturizer,6474.0,3.53
Sports,Sneakers,10789.17,2.99
PLAYERS AND ELECTRONICS,Laptop,132799.17,3.34
Home Appliances,Espresso Machine,74699.17,3.29
LADIESWEAR,Polo shirt,4149.17,5
Books,To Kill a Mockingbird by Harper Lee,1244.17,4
Beauty,Glossier Boy Brow,1328.0,3.46
Sports,Kettlebell,5809.17,1.49
PLAYERS AND ELECTRONICS,Airpods,20749.17,3.13
Home Appliances,Air Purifier,41499.17,3.28
LADIESWEAR,Trucker Jacket,7469.17,2.55
Books,The Hobbit by J.R.R. Tolkien,1078.17,4.97
Beauty,Facial Moisturizer,8300.0,3.66
Sports,Basketball,2074.17,3.34
PLAYERS AND ELECTRONICS,Ring Video Doorbell,8299.17,3.49
Home Appliances,LG OLED TV,107899.17,4.02
LADIESWEAR,Jacket,6639.17,2.92
Books,The Catcher in the Rye by J.D. Salinger,1161.17,4.47
Beauty,Facial Moisturizer,8715.0,3.85
Sports,Cloud running shoes,10789.17,4.21
PLAYERS AND ELECTRONICS,Wireless  Mouse,8299.17,3.84
Home Appliances,Slow Cooker,14939.17,4.71
LADIESWEAR,Superstar Sneakers,6639.17,4.22
Books,The Alchemist by Paulo Coelho,1244.17,3.59
Beauty,Facial Moisturizer,5644.0,4.8
Sports,Pedometer,82999.17,3.84
PLAYERS AND ELECTRONICS,Wireless Speaker,24899.17,3.26
Home Appliances,Countertop Blender,29049.17,3.16
LADIESWEAR,Crewneck T-shirt,1659.17,4.64
Books,The Power of Now by Eckhart Tolle,1078.17,2.51
Beauty,Facial Moisturizer,6806.0,4.93
Sports,Sneakers,9129.17,3.76
PLAYERS AND ELECTRONICS,Canon EOS R5 Camera,323699.17,1.73
Home Appliances,Robot Vacuum Cleaner,29049.17,4.47
LADIESWEAR,Slim fit jeans,3319.17,3.77
Books,The Girl on the Train by Paula Hawkins,912.17,4.3
Beauty,Facial Moisturizer,539.5,3.66
Sports,Dumbbells,33199.17,1.78
PLAYERS AND ELECTRONICS,Google Nest Hub Max,19089.17,5
Home Appliances,Electric griddle,13279.17,4.03
LADIESWEAR, Relaxed-Fit T-Shirt,1244.17,2.8
Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,1576.17,3.54
Beauty,Sunscreen,1245.0,4.52
Sports,Pedometer,19085.85,3.37
PLAYERS AND ELECTRONICS,Amazon Echo Show 10,20749.17,3.27
Home Appliances,Electric griddle,24895.85,2.72
LADIESWEAR, Skinny Jeans,4149.17,4.17
Books,Atomic Habits by James Clear,1410.17,3.69
Beauty, Facial Cleanser,1244.17,2.26
Sports,Cooler,20749.17,4.03
PLAYERS AND ELECTRONICS,Apple iPad Air,49799.17,2.07
Home Appliances,Coffee Maker,7469.17,4.86
LADIESWEAR, Graphic Tee,1078.17,3.25
Books,The Subtle Art of Not Giving a F*ck by Mark Manson,1244.17,3.75
Beauty, Concealer,2490.0,3.25
Sports,Cooler,16599.17,3.97
PLAYERS AND ELECTRONICS,Video Game Console,41499.17,4.46
Home Appliances, Hair Dryer,33199.17,4.65
LADIESWEAR, Leggings,8134.0,4.46
Books,The Four Agreements by Don Miguel Ruiz,746.17,3.89
Beauty, Highlighter,2988.0,4.06
Sports, Wide Mouth Water Bottle,3315.85,2.4
PLAYERS AND ELECTRONICS, Laptop ,107899.17,4.17
Home Appliances,Mini Coffee Maker,6639.17,4.46
LADIESWEAR,Sweatshirt,2904.17,3.08
Books,Think and Grow Rich by Napoleon Hill,829.17,4.83
Beauty,Facial Moisturizer,564.4,4.63
Sports,Smartwatch,8295.85,3.51
PLAYERS AND ELECTRONICS,Gaming Monitor,124499.17,1.8
Home Appliances,Instant Pot Ultra,11619.17,4.35
LADIESWEAR,Track Pants,3734.17,4.49
Books,The Power of Habit by Charles Duhigg,995.17,2.78
Beauty, Moisturizing Lotion,2448.5,4.5
Sports, Cooler,24899.17,3.08
PLAYERS AND ELECTRONICS,Apple AirPods Max,45567.0,3.76
Home Appliances, Coffee Maker,16595.85,2.99
LADIESWEAR,Trucker Jacket,8134.0,3.37
Books,The Outsiders by S.E. Hinton,912.17,3.7
Beauty, Sleeping Mask,2075.0,2.01
Sports,Wireless airdopes,12449.17,5
PLAYERS AND ELECTRONICS,headsets,29049.17,2.51
Home Appliances,Pressure Cooker,16599.17,5
LADIESWEAR,Fleece Hoodie,4564.17,4
Books,The Night Circus by Erin Morgenstern,1410.17,2.04
Beauty,Scar Treatment,4897.0,5
Sports,Pedometer,24899.17,4.35
PLAYERS AND ELECTRONICS,Phone,74699.17,4.37
Home Appliances,Espresso Machine,41495.85,5
LADIESWEAR,T-shirt,2074.17,4.53
Books,The Art of War by Sun Tzu,663.17,4.19
Beauty,Face cleanser,2988.0,5
Sports, Foam Roller,2904.17,4.43
PLAYERS AND ELECTRONICS,Apple MacBook ,99599.17,3.91
Home Appliances,Food Processor,16599.17,3.96
LADIESWEAR,3-Stripes Shorts,2489.17,3.74
Books,The Hunger Games by Suzanne Collins,746.17,4.59
Beauty,Facial Moisturizer,1410.17,2.73
Sports,Rambler Bottle,4149.17,3.41
PLAYERS AND ELECTRONICS,Gaming Monitor,58099.17,3.73
Home Appliances,Slow Cooker,11619.17,3.05
LADIESWEAR,Running Shorts,2904.17,5
Books,The Girl with the Dragon Tattoo by Stieg Larsson,829.17,5
Beauty,Facial Scrub,2448.5,2.56
Sports,Dumbbells,58099.17,2.64
PLAYERS AND ELECTRONICS,Fire TV Stick ,4149.17,3.52
Home Appliances,Slow Cooker,4149.17,5
LADIESWEAR,Mesh Boxer Briefs,1236.7,4.7
Books,The Sun Also Rises by Ernest Hemingway,995.17,3.44
Beauty,Facial Moisturizer,2822.0,3.55
Sports,Sunglasses,12118.0,3
PLAYERS AND ELECTRONICS,Pixelbook Go,53949.17,4.29
Home Appliances,Wet/Dry vacuum,33199.17,4.19
LADIESWEAR, Slim Fit Jeans,4979.17,4.12
Books,The Martian by Andy Weir,1078.17,4.84
Beauty,Facial Moisturizer,15770.0,4.06
Sports,Smartwatch,41495.85,4.25
PLAYERS AND ELECTRONICS,Soundbar,33117.0,3.05
Home Appliances,Precision Cooker,16517.0,4.89
LADIESWEAR,Training Shorts,2904.17,3.32
Books,The Catcher in the Rye by J.D. Salinger,912.17,4.87
Beauty,Blush,1494.0,3.46
Sports,Suspension Training Kit,14105.85,2.78
PLAYERS AND ELECTRONICS, Wireless Gaming Headset,16599.17,4.19
Home Appliances, Coffee Grinder ,16595.85,3.73
LADIESWEAR, Running Shoes,14939.17,3.26
Books,The Road by Cormac McCarthy,995.17,3.98
Beauty,Perfume,10375.0,4.2
Sports,Action Camera,37349.17,5
PLAYERS AND ELECTRONICS,Apple TV ,14857.0,3.49
Home Appliances,Instant Pot ,8295.85,3.74
LADIESWEAR,Fit Jeans,4979.17,5
Books,The Goldfinch by Donna Tartt,1244.17,3.34
Beauty,Redness Neutralising Cream,4316.0,3.3
Sports,Wheeled Cooler,33199.17,4.94
PLAYERS AND ELECTRONICS,Smartwatch,24899.17,1.85
Home Appliances,Stand Mixer,31539.17,2.7
LADIESWEAR,High-Rise Leggings,8134.0,3.41
Books,The Great Alone by Kristin Hannah,1410.17,4.45
Beauty,Scar Treatment,6557.0,3.79
Sports, Bluetooth Speaker ,10707.0,1.92
PLAYERS AND ELECTRONICS,DSLR Camera,62249.17,3.25
Home Appliances,Coffee Maker,14109.17,5
LADIESWEAR, Boxer Briefs,821.7,2.41
Books,The Girl with the Dragon Tattoo by Stieg Larsson,912.17,5
Beauty,Hand Cream,2407.0,2.77
Sports,Cooler,29049.17,3.05
PLAYERS AND ELECTRONICS,MacBook ,199117.0,4.54
Home Appliances,iRobot Braava Jet M6,37349.17,5
LADIESWEAR,Champion Reverse Weave Hoodie,4149.17,3.46
Books,The Nightingale by Kristin Hannah,1078.17,3.32
Beauty, Concealer,2241.0,3.58
Sports,Pedometer,49799.17,3.39
PLAYERS AND ELECTRONICS,Voice assistamt,4149.17,3.54
Home Appliances, Toothbrush,17,0.95
LADIESWEAR,Old Navy Mid-Rise Rockstar Super Skinny Jeans,3734.17,3.45
Books,The Silent Patient by Alex Michaelides,2240.17,4.25
Beauty,Ordinary Caffeine ,556.1,4
Sports,Pedometer,12445.85,3.53
PLAYERS AND ELECTRONICS,Wireless Router,14027.0,4.68
Home Appliances,Oven,49717.0,3.31
LADIESWEAR,Hoodie,5394.17,3.71
Books,Dune by Frank Herbert,829.17,4.31
Beauty,Lip Treatment,1992.0,2.24
Sports,Water Bottle,2734.85,2.84
PLAYERS AND ELECTRONICS,headsets,24817.0,3.09
Home Appliances,Coffee Maker,13279.17,2.43
LADIESWEAR,Sneakers,7470.0,3.7
Books,The Handmaid's Tale by Margaret Atwood,912.17,5
Beauty,Stretch mark cream,4565.0,2.24
Sports,Tumbler,2489.17,4.43
PREPARED FOODS,Snack Foods,8952.56,3.99
PREPARED FOODS,Dairy,7247.54,4.26
PREPARED FOODS,Others,241.75,4.04
PREPARED FOODS,Snack Foods,155.03,3.62
PREPARED FOODS,Dairy,234.23,2.79
PREPARED FOODS,Fruits and Vegetables,117.15,3.92
PREPARED FOODS,Baking Goods,50.1,4.29
PREPARED FOODS,Baking Goods,81.06,2.29
PREPARED FOODS,Snack Foods,95.74,4.56
PREPARED FOODS,Baking Goods,186.89,3.04
PREPARED FOODS,Fruits and Vegetables,118.35,4.02
PREPARED FOODS,Fruits and Vegetables,85.39,4.84
PREPARED FOODS,Health and Hygiene,240.42,4.62
PREPARED FOODS,Breads,122.31,3.61
PREPARED FOODS,Hard Drinks,52.03,3.87
PREPARED FOODS,Baking Goods,151.64,4.75
PREPARED FOODS,Seafood,198.78,5
PREPARED FOODS,Soft Drinks,192.22,1.01
PREPARED FOODS,Household,109.69,3.72
PREPARED FOODS,Snack Foods,193.71,2.72
PREPARED FOODS,Fruits and Vegetables,175.01,5
PREPARED FOODS,Others,239.92,1.8
PREPARED FOODS,Frozen Foods,47.74,3.75
PREPARED FOODS,Others,142.35,5
PREPARED FOODS,Snack Foods,180.73,4.56
